exchangeInstrumentID,symbol,reason
3918,NATCOPHARM,no_fut_or_opt_pattern
6364,NATIONALUM,no_fut_or_opt_pattern
13751,NAUKRI,no_fut_or_opt_pattern
14672,NAVINFLUOR,no_fut_or_opt_pattern
31415,NBCC,no_fut_or_opt_pattern
2319,NCC,no_fut_or_opt_pattern
17963,NESTLEIND,no_fut_or_opt_pattern
17433,NETWEB,no_fut_or_opt_pattern
14111,NETWORK18,no_fut_or_opt_pattern
1164,NEWGEN,no_fut_or_opt_pattern
11840,NH,no_fut_or_opt_pattern
17400,NHPC,no_fut_or_opt_pattern
399,NIACL,no_fut_or_opt_pattern
8585,NLCINDIA,no_fut_or_opt_pattern
15332,NMDC,no_fut_or_opt_pattern
14180,NSLNISP,no_fut_or_opt_pattern
11630,NTPC,no_fut_or_opt_pattern
18721,NUVAMA,no_fut_or_opt_pattern
5426,NUVOCO,no_fut_or_opt_pattern
6545,NYKAA,no_fut_or_opt_pattern
20242,OBEROIRLTY,no_fut_or_opt_pattern
10738,OFSS,no_fut_or_opt_pattern
17438,OIL,no_fut_or_opt_pattern
10637,OLECTRA,no_fut_or_opt_pattern
2475,ONGC,no_fut_or_opt_pattern
14413,PAGEIND,no_fut_or_opt_pattern
17029,PATANJALI,no_fut_or_opt_pattern
6705,PAYTM,no_fut_or_opt_pattern
2649,PCBL,no_fut_or_opt_pattern
18365,PERSISTENT,no_fut_or_opt_pattern
11351,PETRONET,no_fut_or_opt_pattern
14299,PFC,no_fut_or_opt_pattern
2643,PFIZER,no_fut_or_opt_pattern
2535,PGHH,no_fut_or_opt_pattern
14552,PHOENIXLTD,no_fut_or_opt_pattern
2664,PIDILITIND,no_fut_or_opt_pattern
24184,PIIND,no_fut_or_opt_pattern
10666,PNB,no_fut_or_opt_pattern
18908,PNBHOUSING,no_fut_or_opt_pattern
9385,PNCINFRA,no_fut_or_opt_pattern
6656,POLICYBZR,no_fut_or_opt_pattern
9590,POLYCAB,no_fut_or_opt_pattern
25718,POLYMED,no_fut_or_opt_pattern
11403,POONAWALLA,no_fut_or_opt_pattern
14977,POWERGRID,no_fut_or_opt_pattern
18457,POWERINDIA,no_fut_or_opt_pattern
11571,PPLPHARMA,no_fut_or_opt_pattern
2705,PRAJIND,no_fut_or_opt_pattern
20302,PRESTIGE,no_fut_or_opt_pattern
16682,PTCIL,no_fut_or_opt_pattern
13147,PVRINOX,no_fut_or_opt_pattern
17704,QUESS,no_fut_or_opt_pattern
10990,RADICO,no_fut_or_opt_pattern
2431,RAILTEL,no_fut_or_opt_pattern
9408,RAINBOW,no_fut_or_opt_pattern
7401,RAJESHEXPO,no_fut_or_opt_pattern
